CountryCode,Latitude,Longitude,Name,State
US,63.46792966,-162.127389,St. Michael,AK
US,57.1756685,-170.2871805,St. Paul,AK
US,63.46792966,-162.2907064,Stebbins,AK
US,60.5344915,-150.717382,Sterling,AK
US,66.0143415,-149.0750015,Stevens Village,AK
US,61.786361,-156.5994295,Stony River,AK
US,60.8613415,-149.472858,Sunrise,AK
US,61.487145,-150.6312595,Susitna,AK
US,61.7966435,-148.8202735,Sutton-Alpine,AK
US,62.98693351,-155.9793305,Takotna,AK
US,62.27087,-150.0362515,Talkeetna,AK
US,63.3410245,-143.412052,Tanacross,AK
US,61.6639035,-149.4029395,Tanaina,AK
US,65.17483099,-152.07071,Tanana,AK
US,60.8946545,-146.68102,Tatitlek,AK
US,62.058898,-145.425675,Tazlina,AK
US,65.25207598,-166.324574,Teller,AK
US,57.7962845,-135.1932303,Tenakee Springs,AK
US,63.1524495,-142.40899,Tetlin,AK
US,56.1946705,-132.1936035,Thoms Place,AK
US,55.629609,-132.5381835,Thorne Bay,AK
US,59.09502199,-160.346683,Togiak,AK
US,63.378163,-143.010102,Tok,AK
US,60.541379,-165.1246927,Toksook Bay,AK
US,62.0903845,-146.029282,Tolsona,AK
US,61.586004,-144.965677,Tonsina,AK
US,62.348244,-150.3457315,Trapper Creek,AK
US,61.10784802,-160.9678606,Tuluksak,AK
US,60.3397915,-162.6633005,Tuntutuliak,AK
US,60.589631,-165.138747,Tununak,AK
US,59.10108651,-160.279165,Twin Hills,AK
US,64.8926495,-147.1198875,Two Rivers,AK
US,61.1279515,-151.362526,Tyonek,AK
US,57.5757885,-157.1547195,Ugashik,AK
US,63.897365,-160.791308,Unalakleet,AK
US,53.94330712,-166.5409695,Unalaska,AK
US,61.54188851,-160.3337325,Upper Kalskag,AK
US,61.114594,-146.2540521,Valdez,AK
US,67.0334265,-146.319363,Venetie,AK
US,70.64822916,-159.8685497,Wainwright,AK
US,65.61204502,-168.0788076,Wales,AK
US,61.576252,-149.450655,Wasilla,AK
US,56.1195345,-133.1310305,Whale Pass,AK
US,64.68018203,-163.4213671,White Mountain,AK
US,58.0620275,-135.406878,Whitestone Logging Camp,AK
US,60.7944515,-148.5803715,Whittier,AK
US,61.824819,-149.556721,Willow,AK
US,61.8794255,-145.186546,Willow Creek,AK
US,67.4253295,-150.1344065,Wiseman,AK
US,57.71611949,-152.526274,Womens Bay,AK
US,56.40848351,-132.3059577,Wrangell,AK
US,62.196324,-149.7173105,Y,AK
US,59.5869975,-139.481058,Yakutat,AK
US,31.5701405,-85.2535885,Abbeville,AL
US,33.61220091,-86.9557924,Adamsville,AL
US,34.202302,-87.1717455,Addison,AL
US,32.87596051,-87.73844002,Akron,AL
US,33.17052431,-86.77342932,Alabaster,AL
US,34.272822,-86.202083,Albertville,AL
US,32.898819,-85.918576,Alexander City,AL
US,33.7685305,-85.884776,Alexandria,AL
US,33.123471,-88.15319099,Aliceville,AL
US,33.9106375,-86.51293299,Allgood,AL
US,34.031328,-86.306387,Altoona,AL
US,31.324267,-86.45472701,Andalusia,AL
US,34.92652251,-87.26787052,Anderson,AL
US,33.69503193,-85.84056483,Anniston,AL
US,34.334242,-86.484741,Arab,AL
US,34.98453251,-86.83731405,Ardmore,AL
US,33.64102604,-86.51493259,Argo,AL
