Code,CountryCode,Latitude,Longitude,State
99840,US,59.561238,-135.332671,AK
99841,US,57.777547,-135.212133,AK
99850,US,58.371939,-134.58866,AK
99901,US,55.587914,-131.350954,AK
99903,US,55.723485,-132.225974,AK
99918,US,55.356556,-131.696402,AK
99919,US,55.696261,-132.565529,AK
99921,US,55.450994,-132.977534,AK
99922,US,55.157423,-132.440024,AK
99923,US,55.637785,-130.734407,AK
99925,US,55.554748,-132.958135,AK
99926,US,55.127739,-131.494726,AK
99927,US,56.234578,-133.356285,AK
99928,US,55.412315,-131.725632,AK
99929,US,56.316434,-131.725573,AK
99950,US,55.762895,-132.878787,AK
35004,US,33.599227,-86.492202,AL
35005,US,33.594646,-86.989982,AL
35006,US,33.432979,-87.206078,AL
35007,US,33.219685,-86.7942,AL
35010,US,32.940885,-85.924628,AL
35011,US,32.941598,-85.957081,AL
35013,US,33.905841,-86.514127,AL
35014,US,33.361701,-86.257462,AL
35015,US,33.579448,-86.637466,AL
35016,US,34.326483,-86.503284,AL
35019,US,34.295793,-86.634447,AL
35020,US,33.404315,-86.949659,AL
35021,US,33.383234,-86.969607,AL
35022,US,33.33329,-86.959693,AL
35023,US,33.465502,-87.090666,AL
35031,US,34.107067,-86.542518,AL
35032,US,33.276595,-86.355301,AL
35033,US,33.939694,-87.023149,AL
35034,US,32.923248,-87.291606,AL
35035,US,33.054899,-86.986323,AL
35036,US,33.638976,-86.909253,AL
35038,US,33.705054,-87.084013,AL
35040,US,33.105981,-86.731599,AL
35041,US,33.645457,-86.933679,AL
35042,US,32.92809,-87.106293,AL
35043,US,33.311111,-86.663429,AL
35044,US,33.268336,-86.365668,AL
35045,US,32.807935,-86.670854,AL
35046,US,32.91769,-86.555443,AL
35048,US,33.699408,-86.60553,AL
35049,US,33.957962,-86.594603,AL
35051,US,33.202678,-86.613952,AL
35052,US,33.591349,-86.397768,AL
35053,US,34.05483,-87.064288,AL
35054,US,33.503241,-86.325365,AL
35055,US,34.154442,-86.761685,AL
35056,US,34.178558,-86.840896,AL
35057,US,34.182427,-86.960221,AL
35058,US,34.230258,-86.731457,AL
35060,US,33.559099,-86.930506,AL
35061,US,33.4684,-86.959638,AL
35062,US,33.729557,-87.031319,AL
35063,US,33.820667,-87.012385,AL
35064,US,33.476052,-86.926733,AL
35068,US,33.609306,-86.824863,AL
35070,US,34.011666,-86.749221,AL
35071,US,33.702592,-86.849126,AL
35072,US,33.103122,-86.066273,AL
35073,US,33.654741,-86.977824,AL
35074,US,33.226064,-87.123472,AL
35077,US,34.023924,-86.827541,AL
35078,US,33.327201,-86.450288,AL
35079,US,33.94193,-86.751361,AL
35080,US,33.26312,-86.91657,AL
35082,US,33.115367,-86.108626,AL
35083,US,34.195537,-86.594179,AL
35085,US,32.981719,-86.733409,AL
35087,US,34.31027,-86.586378,AL
35089,US,32.96403,-86.072281,AL
35091,US,33.778908,-86.798488,AL
35094,US,33.518846,-86.563694,AL
35096,US,33.614957,-86.11016,AL
35097,US,33.895693,-86.625044,AL
35098,US,34.130798,-87.036179,AL
35111,US,33.282928,-87.092828,AL
35112,US,33.687818,-86.473053,AL
35114,US,33.231192,-86.897279,AL
35115,US,33.119561,-86.88587,AL
35116,US,33.730336,-86.767074,AL
35117,US,33.665095,-86.886784,AL
35118,US,33.542117,-87.052748,AL
